1,_-1.1#<Gem::Specification name=_ version=1.1>,"","",""
2,_,1.2,Yusuke Endoh,hoe
3,-,"","",""
4,10io-jekyll,"","",""
5,1234567890_,"","",""
6,12_hour_time,0.0.3,Nick Muerdter|Maurice Aubrey,""
7,24games,"","",""
8,2Performant,0.0.5|0.0.7|0.0.8|0.0.1|0.0.4|0.0.6|0.0.3,2Performant,shoulda|httparty
9,360_services,1.0.5|1.0.1|1.0.8|1.0.9|0.0.1|1.0.6|1.1.1|0.0.7|0.0.2|1.0.7|1.0.10|0.0.4|1.1.0|1.0.2|1.1.3|1.1.2|0.0.5|1.0.3|0.0.6|0.0.3|1.0.0|0.0.8,Sorenson Media,netrecorder|rspec|cucumber|echoe
10,3scale_client,2.2.7|2.2.4,Adam Cigánek,nokogiri
11,4info,1.3.4|1.2.4|1.2.2|1.2.1|1.3.2|1.0.3|1.0.5|1.3.0|1.0.4|1.1.1|1.3.3|1.1.0|1.0.2|1.0.0|1.0.1|1.2.5|1.2.3|1.2.0|2.0.0,Jack Danger Canty,mocha|shoulda|hpricot|haml
12,7digital,0.0.1|0.0.5,filip7d,peachy|will_paginate
13,a,0.1.0, Author,""
14,a13g,0.1.0.beta3,Kriss Kowalik,rspec|activesupport|yard
15,a2ws,"","",""
16,aa,1.0,ujihisa,""
17,aaalex-off_github,"","",""
18,aalib-ruby,"","",""
19,aargvark,0.0.14,Mike Zazaian,""
20,aaronh-chronic,"","",""
21,aasm,2.0.5|0.0.1|2.0.7|2.1.3|2.1.1|0.0.2|2.0.0|2.2.0|2.0.2|2.0.1|2.1.5|2.0.6|2.0.4,Scott Barron,""
22,aavkontakte,0.1.2|0.1.1|0.1.3,Dmitry Vorotilin,jeweler|rcov|shoulda|bundler
23,a_b,0.1.0,Winton Welsh,sinatra|cucumber|rack|shotgun|rspec|rack-flash|active_wrapper|rack-test|webrat|haml
24,abacus,"","",""
25,abanalyzer,"","",""
26,abebooks4r,"","",""
27,abel,"","",""
28,abgabenrechner,0.1.1,Felix Faerber,thoughtbot-shoulda
29,abingo_port,"","",""
30,abiquo,"","",""
31,abiquo-etk,0.4.15|0.4.33|0.4.13|0.4.17|0.4.22|0.4.19|0.4.14|0.4.25|0.4.23|0.4.32|0.4.18|0.4.29|0.4.16|0.4.20,Sergio Rubio,nokogiri|mixlib-cli|term-ansicolor
32,abn,1.3.0|2.0.0,James Healy,rspec|rake|roodi|rcov
33,ABO,"","",""
34,a_b_plugin,"","",""
35,abscss,0.0.0,Tony Doan,thoughtbot-shoulda|nokogiri
36,AbsoluteRenamer,1.0.0|0.9.2|0.9.0.1|0.10.0|1.1.1|1.1.0|1.0.3|0.9.1|1.0.1|0.9.0.2|0.9.0|1.0.4|1.0.2,Simon COURTOIS,thoughtbot-shoulda
37,AbsoluteRenamer-date,"","",""
38,AbsoluteRenamer-system,"","",""
39,absolutize,0.0.2|0.0.6|0.0.7|0.0.1|0.0.12|0.0.4|0.0.10|0.0.3|0.0.5|0.0.11|0.0.9,Stewart McKee,""
40,abstract,"","",""
41,abstract_analyzer,0.0.0|0.1.1|0.1.2,Mark McSpadden,""
42,abstract_auth,0.1.1|0.1.3|0.1.2,Ryan Cook,module_ext|rake
43,abstract_interface,0.1.7|0.1.0|0.1.1|0.1.6|0.1.5,Alexey Petrushin,""
44,abstract-interface,"","",""
45,abstraction,0.0.1|0.0.3|0.0.2,Peter Jaros,""
46,abtain_billing,1.02|1.03,Dan Quellhorst,builder|activesupport
47,abundance,1.1.2|1.0.3|1.3.0|1.0.4|1.1.0|1.3.4|1.0.2|1.0.7|1.0.9|1.0.5|1.3.5|1.3.2|1.2.3|1.2.6|1.3.1|1.0.8|1.0.6|1.0.1|1.2.0|1.2.2|1.3.3|1.2.5|1.2.1|1.1.1,Louis-Philippe Perron,""
48,Abundance,"","",""
49,acamargo-geoip_city,"","",""
50,acceptable,0.2.1|0.2.2,SSDany,rack
51,accepts-flattened-values,0.1.1|0.1.2|0.1.3,Samuel Kadolph,activesupport|activerecord
52,accept_values_for,0.2.1|0.0.1|0.1.0|0.2.0|0.3.1|0.3.0,Bogdan Gusiev,activerecord|rspec
53,access_control,"","",""
54,AccessControl,"","",""
55,accessible_attributes,0.0.1|0.0.5|0.0.4|0.0.2,Steven Hancock,rspec-rails|rdoc|bundler|rake|rspec|sqlite3-ruby|rails
56,access_kit,"","",""
57,accessorize,"","",""
58,accountable,"","",""
59,account_scopper,0.2.0,Sebastien Grosjean,activerecord|rspec
60,accumulators,0.1.0|0.1.2|0.1.4,Gavin Heavyside,rspec|rcov|jeweler|bundler
